name,description
TVs & Displays,Television sets and display monitors of all sizes and technologies
Home Appliances,Washing machines refrigerators dishwashers and other household appliances
Air Conditioning,Split units window units and portable air conditioning systems
Smartphones,Mobile phones and smartphones from all brands
Tablets,Tablet computers and 2-in-1 devices
Audio,Soundbars headphones speakers and audio equipment
Laptops,Notebook computers and ultrabooks
Gaming,Gaming consoles controllers and gaming accessories
Kitchen Appliances,Small kitchen appliances like blenders microwaves and coffee machines
Networking,Routers switches access points and networking equipment
